id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Fading Light,Adagio Hall,classical,sad,0.20,62,0.15,0.18,0.94
12,Concrete Kings,MC Verdict,hip-hop,confident,0.74,96,0.55,0.88,0.12
13,Iron Verdict,Ashfall,metal,angry,0.96,172,0.14,0.52,0.04
14,Velvet Hours,Soul Ember,r&b,romantic,0.55,88,0.68,0.80,0.34
15,Old Porch Song,The Wanderers,folk,nostalgic,0.38,102,0.52,0.44,0.82
16,Neon Horizon,Pulse Theory,edm,euphoric,0.90,128,0.86,0.91,0.06
17,Blue Room Blues,Delta Keys,blues,melancholic,0.34,72,0.32,0.40,0.66
18,Wide Open Road,Dusty Boots,country,uplifting,0.62,120,0.79,0.66,0.48
